name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,opponent_team
Facundo Pellistri,MID,Man Utd,0,0,0,0,0,0,347,0,0,0,0,13,0,0,0,0,2022-08-13T16:30:00Z,0,0,0,0,0,2,0,4645,0,0,4,0,0,-924,144,1068,45,FALSE,0,Brentford
Reiss Nelson,MID,Arsenal,0,0,0,0,0,0,23,0,0,0,0,11,0,0,0,0,2022-08-13T14:00:00Z,0,0,0,0,0,2,0,3093,0,2,4,0,0,-585,119,704,50,TRUE,0,Leicester
Gonçalo Guedes,MID,Wolves,2.7,0,0,2,0,1.2,579,0,0,0,0,20,0,0,0.1,0,2022-08-13T14:00:00Z,32,0,0,0,0,2,0,7145,0,0,0,0,1,4692,5577,885,60,TRUE,0,Fulham
Vicente Guaita,GK,Crystal Palace,0.5,0,0,13,0,0,152,0,0,0,0,16,1,0,2.6,26.4,2022-08-15T19:00:00Z,90,0,0,0,0,2,3,129964,0,1,1,0,2,-6586,2700,9286,45,FALSE,1,Liverpool
James Justin,DEF,Leicester,1.5,1,0,14,0,1.8,268,0,0,0,0,11,4,0,1.3,9.6,2022-08-13T14:00:00Z,90,0,0,0,0,2,0,123456,0,2,4,2,3,-8455,3127,11582,45,FALSE,0,Arsenal
Çaglar Söyüncü,DEF,Leicester,-0.5,0,0,0,0,0,267,0,0,0,0,11,0,0,0,0,2022-08-13T14:00:00Z,0,0,0,0,0,2,0,47052,0,2,4,0,0,-7503,1430,8933,45,FALSE,0,Arsenal
Hugo Lloris,GK,Spurs,1.5,0,0,9,0,0,425,0,0,0,0,15,2,0,1.4,13.8,2022-08-14T15:30:00Z,90,0,0,0,0,2,1,394157,0,2,2,0,1,-30716,10101,40817,55,FALSE,0,Chelsea
Nick Pope,GK,Newcastle,8,0,3,31,1,0,376,0,0,0,0,14,0,0,3.9,38.6,2022-08-13T14:00:00Z,90,0,0,0,0,2,5,403355,0,0,0,0,10,13550,32436,18886,50,FALSE,0,Brighton
Oliver Skipp,MID,Spurs,0,0,0,0,0,0,441,0,0,0,0,15,0,0,0,0,2022-08-14T15:30:00Z,0,0,0,0,0,2,0,10753,0,2,2,0,0,-2172,355,2527,45,FALSE,0,Chelsea
Ryan Sessegnon,DEF,Spurs,4,0,0,-3,0,0.5,436,0,0,0,0,15,1,0,2.1,3.2,2022-08-14T15:30:00Z,56,0,0,0,0,2,0,167626,0,2,2,17,1,80745,95968,15223,45,FALSE,0,Chelsea
Ashley Young,DEF,Aston Villa,0,0,0,0,0,0,538,0,0,0,0,12,0,0,0,0,2022-08-13T11:30:00Z,1,0,0,0,0,2,0,12338,0,1,2,0,0,-860,1034,1894,45,TRUE,1,Everton
Jeremy Sarmiento,MID,Brighton,0,0,0,0,0,0,119,0,0,0,0,14,0,0,0,0,2022-08-13T14:00:00Z,0,0,0,0,0,2,0,9177,0,0,0,0,0,99,1104,1005,45,TRUE,0,Newcastle
Philip Billing,MID,Bournemouth,0,0,0,4,0,10.3,70,0,0,0,0,17,1,0,1.3,2.4,2022-08-13T14:00:00Z,26,0,0,0,0,2,0,13851,0,0,4,0,1,-1439,791,2230,55,FALSE,0,Man City
